State,Account Length,Area Code,Phone,Int'l Plan,VMail Plan,VMail Message,Day Mins,Day Calls,Day Charge,Eve Mins,Eve Calls,Eve Charge,Night Mins,Night Calls,Night Charge,Intl Mins,Intl Calls,Intl Charge,CustServ Calls,Churn?
KS,Medium,VeryLow,382-4657,no,yes,Medium,High,High,VeryHigh,Medium,Medium,High,High,Medium,High,High,VeryLow,VeryHigh,Low,False.
OH,Medium,VeryLow,371-7191,no,yes,Medium,Medium,High,Medium,Medium,High,High,High,Medium,VeryHigh,VeryHigh,VeryLow,VeryHigh,Low,False.
NJ,Medium,VeryLow,358-1921,no,no,VeryLow,High,High,High,Low,High,Low,Low,Medium,Medium,High,Low,VeryHigh,VeryLow,False.
OH,Low,VeryLow,375-9999,yes,no,VeryLow,VeryHigh,Medium,VeryHigh,VeryLow,Medium,VeryLow,Medium,Medium,High,Medium,Medium,VeryHigh,Medium,False.
OK,Low,VeryLow,330-6626,yes,no,VeryLow,Medium,High,Medium,Medium,High,Medium,Medium,High,Medium,High,VeryLow,VeryHigh,High,False.
AL,Medium,,391-8027,yes,no,VeryLow,High,High,High,High,High,High,Medium,High,High,Low,Low,VeryHigh,VeryLow,False.
MA,Medium,,355-9993,no,yes,Medium,High,Medium,High,VeryHigh,High,VeryHigh,Medium,High,High,Medium,Medium,VeryHigh,High,False.
MO,High,VeryLow,329-9001,yes,no,VeryLow,Medium,Medium,Medium,Low,Medium,Low,Medium,Medium,High,Medium,Low,VeryHigh,VeryLow,False.
LA,Medium,VeryLow,335-4719,no,no,VeryLow,Medium,High,Medium,VeryHigh,Medium,VeryHigh,Medium,Medium,High,Medium,Low,VeryHigh,Low,False.
WV,Medium,VeryLow,330-8173,yes,yes,High,High,Medium,High,High,High,High,VeryHigh,Medium,VeryHigh,High,Low,VeryHigh,VeryLow,False.
IN,Low,VeryLow,329-6603,no,no,VeryLow,Low,VeryHigh,Low,High,Medium,High,Medium,Medium,High,High,Low,VeryHigh,VeryHigh,True.
RI,Low,VeryLow,344-9403,no,no,VeryLow,Medium,High,Medium,Medium,VeryHigh,Medium,Medium,Medium,High,Medium,Low,VeryHigh,VeryLow,False.
IA,High,VeryLow,363-1107,no,no,VeryLow,Low,Medium,Low,Low,Medium,Low,Low,High,Medium,High,VeryLow,VeryHigh,Low,False.
MT,Low,,394-8006,no,no,VeryLow,Medium,Medium,Medium,High,Medium,High,Medium,Medium,Medium,High,Low,VeryHigh,High,False.
IA,Low,VeryLow,366-9238,no,no,VeryLow,Low,Medium,Low,VeryHigh,Medium,VeryHigh,Medium,Medium,High,VeryHigh,Low,VeryHigh,VeryHigh,False.
NY,High,VeryLow,351-7269,no,no,VeryLow,VeryHigh,Medium,VeryHigh,VeryHigh,Medium,VeryHigh,Low,High,Medium,Low,Medium,VeryHigh,VeryHigh,True.
ID,Low,VeryLow,350-8884,no,yes,Medium,Medium,VeryHigh,High,High,Medium,VeryHigh,VeryLow,Low,Low,VeryHigh,Low,VeryHigh,Low,False.
VT,Low,,386-2923,no,no,VeryLow,Medium,High,Medium,High,High,High,Low,High,Low,Medium,VeryLow,VeryHigh,High,False.
VA,Low,,356-2992,no,yes,High,Medium,Medium,Medium,Medium,Low,High,Low,Medium,Medium,High,Low,VeryHigh,Low,False.
TX,Low,VeryLow,373-2782,no,no,VeryLow,High,Medium,High,Medium,Medium,Medium,Medium,Low,Medium,VeryHigh,VeryLow,VeryHigh,Low,False.
FL,High,VeryLow,396-5800,no,no,VeryLow,Medium,High,Medium,High,Medium,High,Medium,High,High,High,Low,VeryHigh,VeryLow,False.
CO,Low,VeryLow,393-7984,no,no,VeryLow,VeryLow,Medium,VeryLow,Medium,High,Medium,Medium,Low,High,Low,Low,VeryHigh,VeryHigh,True.
AZ,Medium,VeryLow,358-1958,no,no,VeryLow,Medium,High,Medium,Low,Medium,Low,Medium,Low,Medium,Medium,VeryHigh,VeryHigh,VeryLow,False.
SC,Medium,VeryLow,350-2565,no,no,VeryLow,Low,High,Low,Low,High,Medium,Medium,Medium,Medium,Medium,Low,VeryHigh,Medium,False.
VA,Medium,,343-4696,no,no,VeryLow,Low,Medium,Low,High,Medium,High,Medium,Medium,High,High,VeryLow,VeryHigh,VeryLow,False.
NE,High,VeryLow,331-3698,no,no,VeryLow,Low,Medium,Low,High,High,VeryHigh,High,Medium,VeryHigh,VeryHigh,Low,VeryHigh,High,False.
WY,Low,VeryLow,357-3817,no,yes,VeryHigh,High,High,High,Medium,High,High,Medium,Medium,Medium,Medium,VeryLow,VeryHigh,VeryLow,False.
MT,Low,VeryLow,418-6412,no,no,VeryLow,Low,Medium,Medium,Medium,High,Medium,Low,Low,Low,VeryHigh,Low,VeryHigh,High,False.
MO,VeryLow,VeryLow,353-2630,no,no,VeryLow,Medium,High,Medium,High,Medium,VeryHigh,Medium,Medium,Medium,Low,Low,VeryHigh,VeryLow,False.
HI,Low,,410-7789,no,no,VeryLow,Low,High,Low,Medium,High,High,Medium,Medium,Medium,High,VeryLow,VeryHigh,Low,False.
IL,Medium,VeryLow,416-8428,no,no,VeryLow,Low,Medium,Low,Low,Low,Medium,High,VeryHigh,VeryHigh,VeryHigh,Low,VeryHigh,Medium,False.
NH,Low,,370-3359,no,no,VeryLow,High,High,High,Medium,High,High,High,Medium,High,High,Low,VeryHigh,Low,False.
LA,High,VeryLow,383-1121,no,no,VeryLow,High,High,High,VeryLow,High,VeryLow,High,Low,VeryHigh,High,High,VeryHigh,High,False.
AZ,VeryLow,VeryLow,360-1596,no,no,VeryLow,High,High,High,High,High,High,High,Medium,VeryHigh,High,VeryLow,VeryHigh,Low,True.
OK,Low,VeryLow,395-2854,no,yes,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,High,High,Medium,Low,VeryHigh,VeryLow,False.
GA,Low,VeryLow,362-1407,no,yes,High,High,Medium,High,High,High,High,Low,Low,Medium,VeryHigh,Low,VeryHigh,High,False.
AK,VeryLow,VeryLow,341-9764,no,yes,High,Medium,High,Medium,Medium,Medium,Medium,Low,Medium,Low,VeryHigh,Low,VeryHigh,VeryLow,False.
MA,Low,VeryLow,353-3305,no,no,VeryLow,Low,Low,Low,High,High,High,Medium,Medium,High,High,Low,VeryHigh,Low,False.
AK,Medium,VeryLow,402-1381,yes,yes,High,Medium,High,High,Medium,Medium,Medium,Low,Medium,Low,High,Low,VeryHigh,High,False.
NJ,High,VeryLow,332-9891,no,no,VeryLow,Medium,Medium,Medium,High,Medium,VeryHigh,Medium,Medium,Medium,High,Medium,VeryHigh,Low,False.
GA,Medium,VeryLow,372-9976,no,no,VeryLow,Low,High,Low,Medium,Medium,Medium,Medium,High,Medium,Medium,VeryLow,VeryHigh,High,False.
MD,Medium,VeryLow,383-6029,yes,yes,VeryHigh,Medium,Medium,Medium,Medium,High,High,Low,Low,Low,VeryHigh,VeryHigh,VeryHigh,VeryLow,True.
AR,VeryLow,,353-7289,no,no,VeryLow,Low,Medium,Low,High,Medium,VeryHigh,High,Low,VeryHigh,High,Low,VeryHigh,Medium,False.
ID,High,VeryLow,390-7274,no,no,VeryLow,Low,Medium,Low,Medium,High,Medium,Medium,Medium,Medium,Medium,Low,VeryHigh,High,False.
WI,Low,,352-1237,no,no,VeryLow,Medium,Medium,Medium,High,High,High,High,Low,VeryHigh,Low,VeryLow,High,Low,False.
OR,Low,VeryLow,353-3061,no,yes,Medium,Low,High,Low,Medium,Medium,High,Low,High,Medium,Medium,Low,VeryHigh,Medium,False.
MI,Low,VeryLow,363-5450,no,no,VeryLow,High,High,High,Medium,High,Medium,Low,High,Low,VeryHigh,Low,VeryHigh,High,False.
DE,Medium,VeryLow,364-1995,no,no,VeryLow,Medium,VeryHigh,Medium,Low,Medium,Medium,Medium,High,High,Medium,Low,VeryHigh,Medium,False.
ID,Medium,VeryLow,398-1294,no,no,VeryLow,Medium,High,Medium,High,High,High,Low,Medium,Medium,Medium,VeryLow,VeryHigh,VeryHigh,True.
WY,Medium,VeryLow,405-7146,no,yes,Medium,Low,VeryHigh,Medium,High,Low,High,VeryLow,Low,VeryLow,High,VeryLow,VeryHigh,Low,False.
IA,Low,VeryLow,413-4957,no,no,VeryLow,Medium,High,Medium,High,Medium,VeryHigh,Medium,Low,High,Medium,Low,VeryHigh,High,False.
IN,Low,VeryLow,420-5645,no,no,VeryLow,High,Low,High,Medium,High,High,High,High,High,Medium,VeryLow,VeryHigh,Low,False.
VA,VeryLow,VeryLow,349-4396,no,no,VeryLow,Medium,High,Medium,Medium,Low,High,High,VeryLow,VeryHigh,High,Low,VeryHigh,Medium,False.
UT,Low,VeryLow,404-3211,no,no,VeryLow,Medium,High,Medium,High,Medium,VeryHigh,Medium,Low,High,Medium,Low,VeryHigh,Medium,False.
WY,Low,VeryLow,353-3759,no,no,VeryLow,Medium,Medium,Medium,High,High,High,Medium,High,High,High,VeryLow,VeryHigh,VeryHigh,True.
IN,Low,VeryLow,363-5947,no,no,VeryLow,Medium,Medium,Medium,High,Medium,High,High,Medium,VeryHigh,High,VeryLow,VeryHigh,Low,False.
CO,Medium,VeryLow,340-5121,no,no,VeryLow,Low,High,Low,Medium,Low,Medium,Low,High,Medium,Medium,VeryLow,VeryHigh,Low,False.
CO,Medium,VeryLow,370-7574,no,yes,High,Medium,VeryHigh,High,Low,Medium,Low,Medium,Low,Medium,Low,VeryLow,VeryHigh,High,True.
WI,Low,VeryLow,403-9733,no,no,VeryLow,Medium,Medium,Medium,High,VeryHigh,High,Low,Medium,Low,High,VeryLow,VeryHigh,High,False.
OK,Medium,VeryLow,355-7251,no,no,VeryLow,High,High,High,Medium,High,Medium,Medium,Medium,Medium,High,Medium,VeryHigh,Low,False.
ID,High,VeryLow,359-5893,no,no,VeryLow,Medium,High,Medium,Medium,Medium,Medium,Low,VeryLow,Medium,High,Low,VeryHigh,Low,False.
CA,Medium,VeryLow,405-3371,no,yes,High,High,Medium,VeryHigh,Medium,VeryHigh,Medium,Low,Medium,Medium,High,VeryLow,VeryHigh,Medium,False.
MN,Low,,344-5117,no,yes,High,Medium,Medium,Medium,High,Medium,High,Low,Medium,Medium,VeryHigh,VeryLow,VeryHigh,Medium,False.
SD,High,VeryLow,332-8160,no,yes,Medium,Medium,Medium,Medium,Medium,Low,Medium,High,VeryLow,VeryHigh,High,VeryLow,VeryHigh,High,False.
NC,VeryLow,VeryLow,359-4081,no,no,VeryLow,Low,High,Medium,Medium,Medium,Medium,Low,Medium,Medium,Medium,Low,VeryHigh,Medium,False.
WA,VeryLow,VeryLow,352-8305,no,yes,VeryHigh,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,Low,Low,VeryHigh,Medium,False.
WY,VeryLow,VeryLow,329-9847,yes,no,VeryLow,High,High,High,Medium,High,High,Low,Low,Medium,Medium,Low,VeryHigh,VeryLow,False.
MN,Medium,VeryLow,365-9011,yes,no,VeryLow,Low,Medium,Low,Medium,High,High,Low,High,Low,Medium,Medium,VeryHigh,VeryLow,False.
UT,Medium,VeryLow,338-9472,no,no,VeryLow,High,Medium,High,High,Medium,High,Low,VeryLow,Medium,Medium,VeryLow,VeryHigh,Low,False.
TX,High,,374-8042,no,no,VeryLow,Medium,High,Medium,Medium,High,Medium,Low,Medium,Medium,VeryHigh,VeryLow,VeryHigh,VeryHigh,True.
NJ,Medium,VeryLow,359-1231,no,no,VeryLow,High,Medium,High,Medium,Medium,Medium,High,Medium,VeryHigh,High,Medium,VeryHigh,High,False.
MN,High,,413-7170,no,yes,VeryHigh,High,High,High,Medium,Medium,Medium,High,Low,VeryHigh,High,VeryLow,VeryHigh,VeryLow,False.
NM,High,,415-2935,no,no,VeryLow,High,Medium,High,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Low,VeryHigh,High,False.
NV,Low,VeryLow,399-4246,no,no,VeryLow,Medium,VeryHigh,High,High,High,High,Low,Medium,Medium,Medium,Low,VeryHigh,Low,False.
HI,Low,VeryLow,362-5889,no,no,VeryLow,High,High,High,Medium,Medium,Medium,Medium,Medium,Medium,High,VeryLow,VeryHigh,VeryLow,False.
MN,Low,VeryLow,350-8921,no,no,VeryLow,Medium,Medium,Medium,High,Medium,High,Medium,Medium,Medium,Low,VeryLow,VeryHigh,Low,False.
DC,Low,VeryLow,374-5353,no,no,VeryLow,VeryHigh,High,VeryHigh,Medium,High,Medium,High,Low,VeryHigh,High,Low,VeryHigh,VeryLow,True.
NY,High,VeryLow,360-1171,no,no,VeryLow,VeryLow,High,VeryLow,Low,Medium,Low,Medium,Medium,Medium,Medium,Medium,VeryHigh,VeryHigh,True.
MN,VeryLow,VeryLow,355-8887,no,no,VeryLow,High,Medium,High,Medium,High,Medium,Medium,Medium,Medium,Medium,VeryLow,VeryHigh,Medium,False.
MD,Low,VeryLow,333-1967,no,no,VeryLow,Medium,High,Medium,Medium,High,Medium,Medium,Low,High,VeryHigh,VeryLow,VeryHigh,Low,False.
WV,High,VeryLow,354-4577,no,no,VeryLow,Medium,High,High,VeryHigh,Medium,VeryHigh,Medium,High,High,VeryHigh,VeryLow,VeryHigh,Low,False.
OR,Medium,VeryLow,331-7425,yes,no,VeryLow,High,High,High,Medium,Medium,High,High,Medium,VeryHigh,High,Low,VeryHigh,High,False.
CO,Low,VeryLow,419-2637,no,yes,Medium,Medium,High,Medium,Low,Medium,Medium,Medium,Medium,Medium,High,VeryLow,VeryHigh,High,False.
GA,Low,VeryLow,411-1530,no,yes,Medium,High,High,High,High,Medium,VeryHigh,Medium,Low,High,High,Low,VeryHigh,Low,False.
TX,Medium,,395-3026,no,no,VeryLow,High,Medium,High,High,Medium,High,Medium,Low,Medium,High,VeryLow,VeryHigh,Medium,True.
VT,Medium,,388-6441,no,yes,High,Medium,High,Medium,High,Medium,High,VeryHigh,Low,VeryHigh,Medium,Medium,VeryHigh,VeryLow,False.
IN,Low,VeryLow,402-1251,no,no,VeryLow,Medium,High,Medium,Medium,High,Medium,Medium,Low,Medium,Medium,Low,VeryHigh,VeryHigh,True.
WV,Medium,,412-9997,no,no,VeryLow,High,High,High,Medium,Medium,High,Medium,Medium,Medium,High,VeryLow,VeryHigh,Low,False.
KY,Low,VeryLow,346-7302,no,yes,High,Medium,High,Medium,Low,Medium,Low,Medium,VeryLow,High,High,Medium,VeryHigh,Medium,False.
NJ,Medium,VeryLow,358-9095,no,no,VeryLow,High,High,High,High,Medium,High,Medium,Low,High,VeryHigh,Low,VeryHigh,Low,True.
DC,Low,,400-9770,no,no,VeryLow,Medium,Low,Medium,Medium,High,High,Low,Medium,Low,High,VeryLow,VeryHigh,Low,False.
LA,High,VeryLow,334-1275,no,no,VeryLow,Medium,High,High,Medium,High,High,Medium,High,High,Medium,Low,VeryHigh,VeryLow,True.
AR,Low,VeryLow,340-4953,no,no,VeryLow,Low,High,Low,Medium,High,Medium,High,Low,VeryHigh,Medium,Medium,VeryHigh,Low,False.
ME,Low,VeryLow,400-9510,no,no,VeryLow,High,Medium,High,Medium,High,Medium,High,Medium,VeryHigh,Medium,Medium,VeryHigh,High,False.
AZ,Low,VeryLow,387-6103,no,no,VeryLow,Medium,Medium,Medium,Medium,Medium,High,Low,Medium,Low,High,Medium,VeryHigh,High,False.
AK,Medium,VeryLow,366-4467,no,no,VeryLow,VeryHigh,High,VeryHigh,Low,High,Low,Low,High,Medium,High,Low,VeryHigh,Low,False.
MT,Low,VeryLow,370-3450,no,no,VeryLow,Medium,High,Medium,Medium,Medium,High,Medium,Low,Medium,VeryHigh,Low,VeryHigh,VeryLow,False.
AZ,Medium,VeryLow,327-3954,no,no,VeryLow,Medium,Medium,High,Medium,Medium,High,Medium,Medium,Medium,Medium,VeryLow,VeryHigh,VeryHigh,False.
MS,Medium,VeryLow,355-6291,no,no,VeryLow,High,VeryHigh,High,Medium,High,High,Low,Medium,Medium,Low,Low,VeryHigh,Low,True.
ID,Low,VeryLow,362-9748,no,no,VeryLow,High,Medium,High,Medium,High,High,High,Medium,VeryHigh,High,Medium,VeryHigh,Medium,True.
IA,Medium,,379-6506,no,yes,Medium,Medium,High,Medium,High,Medium,High,Low,Medium,Medium,Low,Medium,VeryHigh,VeryHigh,False.
MA,Medium,VeryLow,347-7741,no,no,VeryLow,Medium,VeryHigh,Medium,Medium,Medium,Medium,Low,Medium,Low,VeryHigh,Low,VeryHigh,VeryLow,False.
