State,Account Length,Area Code,Phone,Int'l Plan,VMail Plan,VMail Message,Day Mins,Day Calls,Day Charge,Eve Mins,Eve Calls,Eve Charge,Night Mins,Night Calls,Night Charge,Intl Mins,Intl Calls,Intl Charge,CustServ Calls,Churn?
KS,0.525,0.069,382-4657,no,yes,0.49,0.756,0.667,0.756,0.543,0.582,0.543,0.596,0.408,0.596,0.5,0.15,0.5,0.111,False.
OH,0.438,0.069,371-7191,no,yes,0.51,0.461,0.745,0.461,0.538,0.606,0.538,0.622,0.493,0.622,0.685,0.15,0.685,0.111,False.
NJ,0.562,0.069,358-1921,no,no,0.0,0.694,0.691,0.694,0.333,0.647,0.333,0.375,0.5,0.375,0.61,0.25,0.609,0.0,False.
OH,0.343,0.0,375-9999,yes,no,0.0,0.853,0.43,0.853,0.17,0.518,0.17,0.467,0.394,0.467,0.33,0.35,0.33,0.222,False.
OK,0.306,0.069,330-6626,yes,no,0.0,0.475,0.685,0.475,0.408,0.718,0.408,0.44,0.62,0.441,0.505,0.15,0.506,0.333,False.
AL,0.483,1.0,391-8027,yes,no,0.0,0.637,0.594,0.637,0.607,0.594,0.607,0.486,0.599,0.487,0.315,0.3,0.315,0.0,False.
MA,0.496,1.0,355-9993,no,yes,0.471,0.622,0.533,0.622,0.958,0.635,0.958,0.509,0.599,0.51,0.375,0.35,0.376,0.333,False.
MO,0.603,0.069,329-9001,yes,no,0.0,0.448,0.479,0.448,0.283,0.553,0.283,0.507,0.444,0.507,0.355,0.3,0.356,0.0,False.
LA,0.479,0.0,335-4719,no,no,0.0,0.526,0.588,0.526,0.967,0.471,0.967,0.518,0.401,0.518,0.435,0.2,0.435,0.111,False.
WV,0.579,0.069,330-8173,yes,yes,0.725,0.737,0.509,0.737,0.61,0.653,0.61,0.815,0.451,0.816,0.56,0.25,0.559,0.0,False.
IN,0.264,0.069,329-6603,no,no,0.0,0.368,0.83,0.368,0.628,0.488,0.628,0.499,0.549,0.5,0.635,0.3,0.635,0.444,True.
RI,0.302,0.069,344-9403,no,no,0.0,0.535,0.77,0.535,0.449,0.871,0.449,0.465,0.43,0.465,0.455,0.25,0.456,0.0,False.
IA,0.69,0.0,363-1107,no,no,0.0,0.367,0.582,0.367,0.288,0.418,0.289,0.317,0.669,0.317,0.56,0.1,0.559,0.111,False.
